"date","round","home","away","home_score","away_score"
2015-07-18,1,"Lech Poznań","Pogoń Szczecin",1,2
2015-07-17,1,"Lechia Gdańsk","Cracovia",0,1
2015-07-19,1,"Śląsk Wrocław","Legia Warszawa",1,4
2015-07-18,1,"Ruch Chorzów","Górnik Łęczna",0,2
2015-07-18,1,"Zagłębie Lubin","Podbeskidzie Bielsko-Biała",1,1
2015-07-19,1,"Korona Kielce","Jagiellonia Białystok",3,2
2015-07-20,1,"Piast Gliwice","Termalica Bruk-Bet Nieciecza",1,0
2015-07-17,1,"Wisła Kraków","Górnik Zabrze",1,1
2015-07-26,2,"Pogoń Szczecin","Śląsk Wrocław",1,1
2015-07-25,2,"Zagłębie Lubin","Korona Kielce",0,2
2015-07-26,2,"Jagiellonia Białystok","Termalica Bruk-Bet Nieciecza",2,0
2015-07-27,2,"Górnik Łęczna","Górnik Zabrze",2,1
2015-07-24,2,"Ruch Chorzów","Piast Gliwice",2,0
2015-07-24,2,"Cracovia","Wisła Kraków",1,1
2015-07-26,2,"Legia Warszawa","Podbeskidzie Bielsko-Biała",5,0
2015-07-25,2,"Lech Poznań","Lechia Gdańsk",2,1
2015-07-31,3,"Lechia Gdańsk","Pogoń Szczecin",1,1
2015-08-02,3,"Śląsk Wrocław","Termalica Bruk-Bet Nieciecza",2,0
2015-08-02,3,"Górnik Łęczna","Legia Warszawa",0,2
2015-08-01,3,"Wisła Kraków","Lech Poznań",2,0
2015-08-01,3,"Podbeskidzie Bielsko-Biała","Cracovia",0,1
2015-08-03,3,"Korona Kielce","Ruch Chorzów",1,2
2015-07-31,3,"Piast Gliwice","Górnik Zabrze",3,2
2015-08-02,3,"Jagiellonia Białystok","Zagłębie Lubin",1,2
2015-08-08,4,"Pogoń Szczecin","Górnik Łęczna",0,0
2015-08-09,4,"Śląsk Wrocław","Lechia Gdańsk",0,0
2015-08-07,4,"Termalica Bruk-Bet Nieciecza","Zagłębie Lubin",1,0
2015-08-08,4,"Górnik Zabrze","Jagiellonia Białystok",1,3
2015-08-10,4,"Ruch Chorzów","Podbeskidzie Bielsko-Biała",1,1
2015-08-07,4,"Cracovia","Piast Gliwice",1,2
2015-08-09,4,"Legia Warszawa","Wisła Kraków",1,1
2015-08-08,4,"Lech Poznań","Korona Kielce",0,0
2015-08-15,5,"Górnik Łęczna","Śląsk Wrocław",2,3
2015-08-16,5,"Wisła Kraków","Lechia Gdańsk",3,3
2015-08-17,5,"Podbeskidzie Bielsko-Biała","Pogoń Szczecin",2,3
2015-08-14,5,"Korona Kielce","Cracovia",0,3
2015-08-15,5,"Piast Gliwice","Legia Warszawa",2,1
2015-08-16,5,"Jagiellonia Białystok","Ruch Chorzów",2,1
2015-08-14,5,"Zagłębie Lubin","Lech Poznań",2,1
2015-08-15,5,"Termalica Bruk-Bet Nieciecza","Górnik Zabrze",3,0
2015-08-21,6,"Pogoń Szczecin","Wisła Kraków",1,1
2015-08-21,6,"Lechia Gdańsk","Górnik Łęczna",3,1
2015-08-22,6,"Śląsk Wrocław","Podbeskidzie Bielsko-Biała",1,1
2015-08-24,6,"Górnik Zabrze","Zagłębie Lubin",2,2
2015-08-22,6,"Ruch Chorzów","Termalica Bruk-Bet Nieciecza",4,1
2015-08-22,6,"Cracovia","Jagiellonia Białystok",1,1
2015-08-23,6,"Legia Warszawa","Korona Kielce",1,2
2015-08-23,6,"Lech Poznań","Piast Gliwice",0,1
2015-08-28,7,"Wisła Kraków","Śląsk Wrocław",4,2
2015-08-28,7,"Podbeskidzie Bielsko-Biała","Lechia Gdańsk",1,1
2015-08-29,7,"Korona Kielce","Pogoń Szczecin",1,1
2015-08-29,7,"Piast Gliwice","Górnik Łęczna",3,0
2015-08-30,7,"Jagiellonia Białystok","Legia Warszawa",1,1
2015-08-29,7,"Zagłębie Lubin","Ruch Chorzów",3,1
2015-08-30,7,"Termalica Bruk-Bet Nieciecza","Lech Poznań",3,1
2015-08-30,7,"Górnik Zabrze","Cracovia",1,1
2015-09-13,8,"Pogoń Szczecin","Piast Gliwice",3,1
2015-09-11,8,"Lechia Gdańsk","Korona Kielce",0,0
2015-09-12,8,"Śląsk Wrocław","Jagiellonia Białystok",3,1
2015-09-14,8,"Górnik Łęczna","Wisła Kraków",1,0
2015-09-13,8,"Ruch Chorzów","Górnik Zabrze",1,0
2015-09-12,8,"Cracovia","Termalica Bruk-Bet Nieciecza",2,3
2015-09-11,8,"Legia Warszawa","Zagłębie Lubin",2,2
2015-09-12,8,"Lech Poznań","Podbeskidzie Bielsko-Biała",0,1
2015-09-19,9,"Podbeskidzie Bielsko-Biała","Wisła Kraków",0,6
2015-09-21,9,"Korona Kielce","Górnik Łęczna",0,2
2015-09-19,9,"Piast Gliwice","Lechia Gdańsk",2,1
2015-09-20,9,"Jagiellonia Białystok","Lech Poznań",1,0
2015-09-18,9,"Zagłębie Lubin","Cracovia",4,2
2015-09-19,9,"Termalica Bruk-Bet Nieciecza","Pogoń Szczecin",1,1
